iter	RMSE
0	0.09001296475
1	0.08992054519
2	0.08986409935
3	0.08978750744
4	0.0897231957
5	0.08966838006
6	0.0896214556
7	0.08958187553
8	0.0895481989
9	0.08953018198
10	0.08949655409
11	0.08947121617
12	0.08945345342
13	0.08943627484
14	0.08941154811
15	0.08939738281
16	0.08938801274
17	0.08937595756
18	0.0893673617
19	0.08935090109
20	0.08934349186
21	0.08933437056
22	0.08932638145
23	0.08932278522
24	0.08931545559
25	0.08930591953
26	0.08930198712
27	0.08929780009
28	0.08929040392
29	0.08928770456
30	0.08928401678
31	0.0892814532
32	0.08927774583
33	0.0892752726
34	0.08927003087
35	0.08926762778
36	0.08926681023
37	0.0892660957
38	0.08926257615
39	0.08925797651
40	0.08925354387
41	0.08925223223
42	0.08925024041
43	0.08924751784
44	0.08924304791
45	0.08923913131
46	0.08923803362
47	0.08923440119
48	0.08923179507
49	0.08923087331
